question,optionA,optionB,optionC,correctAnswer,explanation
Which of the following is a key consideration for investors assessing the S pillar in ESG analysis beyond easily quantifiable metrics?,Analyzing company lobbying efforts and political contributions, Evaluating the quality and depth of a companys stakeholder engagement processes and responsiveness, Relying solely on third party ESG ratings to ensure objectivity and avoid bias,B,Companies that have better stake holder engagement will have better benefits for all and a more positive outlook
How might a global manufacturers approach to Freedom of Association and Employee Relations impact its risk profile and attractiveness to investors?,Higher operational flexibility due to non unionized workforce, Potential for increased labor disputes and supply chain disruptions if employee rights are suppressed, Reduced labor costs due to limited collective bargaining power,B,Companies that suppress workers rights will have worker issues and less output and less profit and revenue for everyone involved long term
Which aspect of product liability and consumer protection is most relevant for a pharmaceutical company developing a new vaccine?,Ensuring ethical marketing and advertising practices to avoid misleading consumers, Rigorous testing and transparency regarding potential side effects and health and demographic risks, Establishing clear return policies and customer service protocols for product complaints,B,For pharma firms and vaccines its most important to make sure that all is safe and that people know the risks and benefits
Considering social and environmental megatrends which investment in infrastructure would be most aligned with creating long term positive social impact?,Construction of toll highways to improve transportation efficiency, Development of affordable housing and sustainable urban infrastructure in underserved communities, Building luxury resorts in pristine natural environments to boost tourism revenue,B,Affordable housing and better infrastructure can improve people lives and help boost the economy and help all at the same time
What is the Universal Declaration of Human Rights (UDHR) and why is it relevant to ESG investing and social factors?,A legally binding treaty ratified by all UN member states, A foundational document outlining fundamental human rights serving as a benchmark for corporate social responsibility, A set of industry specific guidelines for companies to report on their social impact,B,The UDHR is a core document that all people and business and government should follow for basic human rights and standards and rules
How can investors effectively use ratio analysis and financial modeling to integrate social factors into their investment decisions?,Excluding companies with high social risk scores from their investment universe, Quantifying the potential financial impacts of social risks and opportunities on company valuation and performance, Relying solely on qualitative assessments of social factors due to their inherent non-quantifiability,B,Financial modeling can help find the value of social factors and how to improve them and make sure that they are better for all involved in the long run
Which of the following best describes the social dimension of the EU Taxonomy for Sustainable Activities?,Promoting social equity and inclusion through investments in affordable housing, Ensuring minimum social safeguards are in place alongside environmental objectives for taxonomy aligned activities, Focusing on social infrastructure projects such as schools and hospitals,B,The EU Taxonomy includes social factors as a safeguard to ensure that environmetnal projects are also socially responsible and have a minimum set of rules
What is the primary distinction between internal and external social factors in ESG analysis as presented in Chapter 4?,Internal factors are easier to quantify while external factors are primarily qualitative, Internal factors relate to a companys workforce and operations while external factors concern stakeholders beyond the company, Internal factors are more financially material than external factors and thus prioritized by investors,B,Internal social factors are within the company and external social factors are outside of the company and are more broad and deal with stakeholders
How can investors encourage companies to improve their performance on social opportunities particularly in developing economies?,Lobbying governments to increase social welfare spending, Investing in companies that actively address social needs and create access to essential services and products, Divesting from companies operating in developing markets with low ESG scores,B,Investors can help by putting money in firms that help boost social needs and services and they can grow and expand and help more people
Which of the following metrics would be most indicative of a companys commitment to respecting human rights throughout its operations and supply chain?,Number of employee volunteer hours dedicated to community projects, Existence of a robust human rights due diligence process and grievance mechanisms, Positive media coverage of the companys philanthropic activities,B,Companies that have a system and process in place are much better at doing human rights well and correctly over time
In the context of the Tesco Equal Pay Claim what key social factor was highlighted as a potential source of financial and reputational risk?,Customer dissatisfaction with product quality, Gender inequality in pay and job roles within the company, Environmental violations at Tescos distribution centers,B,Gender inequality is still a big issue and can cause many financial and reputational issues for large firms that dont pay attention
Why is understanding the geographical and industry context crucial when assessing the materiality of social issues for multinational corporations?,Social norms and expectations are consistent across all regions and industries, Social issues vary significantly in relevance and impact depending on local contexts and sector specific business models, Global reporting standards ensure uniform disclosure of social factors irrespective of context,B,Social issues are not the same everywhere and it depends on sector and business and location and what is deemed proper and right in the area
For a portfolio analyst modeling potential impacts of social incidents like major accidents or human rights violations which financial statement line items would be most directly affected?,Revenue projections and gross profit margins, Operating expenses legal liabilities and potential fines, Capital expenditures and depreciation charges,B,Accidents and human rights issues can create large costs and expenses for firms that dont follow the right steps and procedures for social issues
How does the increasing prevalence of non-communicable diseases (NCDs) associated with lifestyle in urban areas create business opportunities?,Increased demand for luxury goods and premium consumer products, Growth in demand for healthcare services preventative care and wellness products, Expansion of the fast food industry to cater to changing dietary habits,B,More and more people are getting sick and there is a large need for healthcare and preventative medicine and wellness products to help people live better lives
Which aspect of company operations would be most relevant to assess for investors concerned about stakeholder opposition and controversial sourcing?,Executive compensation policies and corporate governance structure, Supply chain management practices community relations and engagement with local populations, Companys environmental impact and carbon emissions reduction targets,B,For firms that have large supply chain risks and stakeholder opposition its important to check how they handle these issues and what they do to prevent problems
What is the primary purpose of investor collaborations like Platform Living Wage Financials (PLWF) focused on social issues?,Directly investing in companies that already pay living wages, Engaging with investee companies to encourage and monitor their progress on implementing living wages in supply chains, Publicly shaming and divesting from companies that fail to commit to paying living wages,B,Investor groups can help push firms to make change and to force them to make change and help workers get better wages and life
Which of the following best describes the double materiality concept in ESG reporting and its significance for social factors?,Reporting on both positive and negative social impacts of a companys operations and products, Considering both financial materiality of ESG factors for investors and impact materiality for wider stakeholders, Disclosing both quantitative and qualitative data on social performance indicators,B,Double materiality ensures that firms look at both sides of the coin and that they consider all stake holders and all issues at hand and the best way to proceed
How might increased transparency and reporting on social factors by companies benefit investors in their decision making process?,Reduces the need for in depth fundamental analysis and due diligence, Provides more comprehensive data for assessing social risks and opportunities and comparing company performance, Guarantees higher investment returns by signaling strong ESG commitment,B,More data allows investors to make better choices and more informed choices and to compare and contrast different firms and see who is best
Which of the following best describes the internal social factors that are key considerations for investors according to Chapter 4?,Factors related to a companys impact on broader society and external stakeholders, Factors concerning a companys workforce labor practices and human capital management, Factors that are primarily qualitative and difficult to quantify in financial terms,B,Internal social factors are within the company and have to do with employees and workers and how they are treated and valued
For companies in the technology sector which social factor related to digital disruption presents the most significant long term risk?,Increased competition from new market entrants and disruptive business models, Data privacy and security breaches and erosion of consumer trust, The digital divide and unequal access to technology and internet services,B,Data privacy and security is very important and tech firms have a large target on there back to protect user data and info
How can investors use negative screening based on social factors to align their portfolios with ethical or values based investment approaches?,Actively engaging with companies to improve their social performance over time, Excluding companies involved in activities deemed inconsistent with specific ethical or religious values, Prioritizing investments in companies with the highest ESG ratings and best in class social practices,B,Negative screening allows investors to remove firms that dont fit there standards and morals and stick to what they believe in and there principles
Which of the following is NOT typically considered a fundamental labor right according to international standards and conventions?,Freedom from forced labor and discrimination, The right to fair wages and reasonable working hours, The right to guaranteed employment and job security for all citizens,B,The right to fair wages and hours is not always guaranteed and is more of a wish or a goal then a rule in some nations
In assessing corporate governance which aspect of a companys approach to social factors is most indicative of high quality management?,Having a dedicated corporate social responsibility department with a large budget, Demonstrating proactive and integrated management of social risks and opportunities across all levels of the organization, Publishing glossy sustainability reports highlighting positive social impact and philanthropic activities,B,A good firm will show that social factors are important and that they are a core value and not just a marketing ploy or good PR
How might consumer behavior shifts driven by increasing awareness of social and environmental issues create investment opportunities in the food industry?,Increased demand for processed and packaged foods with longer shelf lives, Growing market for plant based and sustainably sourced food products catering to ethical consumers, Shift towards cheaper and more affordable food options to cope with economic uncertainty,B,More and more people are caring and buying food that is better for the world and animals and that is a growing market and trend
Which social megatrend is most directly linked to the increasing prevalence of chronic diseases and rising healthcare costs in developed nations?,Globalization and increased international travel, Changing demographics including aging populations and lifestyle factors, Automation and reduced physical activity in the workforce,B,A aging population is a large issue for healthcare and will require more and more funding and resources to help the elderly population
