question,optionA,optionB,optionC,correctAnswer,explanation
"Which of the following best describes 'ESG factor tilts' as an ESG integration technique in investment strategies?","Excluding companies with poor ESG performance from investment portfolios", "Overweighting or underweighting securities in a portfolio based on their ESG factor scores or rankings", "Investing in companies and assets specifically focused on addressing environmental and social challenges",B,"ESG factor tilts involve adjusting portfolio weights to overweight securities with favorable ESG factor scores or underweight those with unfavorable scores tilting the portfolio towards better ESG performers"
"What is 'materiality assessment' in ESG analysis and why is it important?","A quantitative analysis of material financial risks and opportunities", "The process of identifying and prioritizing ESG issues that are most likely to have a significant impact on a companys financial performance", "A regulatory requirement for companies to disclose material ESG information to investors",B,"Materiality assessment is the process of identifying and prioritizing ESG issues that are financially material meaning they are likely to have a significant impact on a companys financial performance"
"Which of the following is a key challenge for investors in relying on 'company disclosures' as a primary source of ESG information?","Company disclosures are always deliberately misleading and inaccurate", "Company disclosure policies and reporting practices are highly variable", "Company disclosures are typically too voluminous and complex for investors to analyze effectively",B,"Company disclosures vary significantly in scope quality and reliability across companies and jurisdictions making it challenging for investors to rely solely on company disclosures"
"What does 'QESG analysis' stand for in the context of ESG integration and investment analysis?","Qualitative Environmental Social and Governance analysis", "Quantitative Environmental Social and Governance analysis", "Quality Environmental Social and Governance analysis",B,"QESG analysis stands for Quantitative ESG analysis referring to the use of numerical data metrics and quantitative methods to assess and integrate ESG factors"
"The EU Taxonomy Regulation provides a framework for which action?","Tax laws for businesses", "Sustainable practices for businesses", "Economic activity for companies to be considered environmentally sustainable",C,"The EU Taxonomy Regulation published in June 2020 established a framework that states conditions for an economic activity to be considered environmentally sustainable"
"According to the International Sustainability Standards Board (ISSB) what is set out in IFRS S1 General Requirements for Disclosure of Sustainability Related Financial Information?", "Overall requirements for entities to disclose sustainability related financial information", "Specific metrics for climate change reporting", "Requirements for internal auditing of ESG data",A,"The International Sustainability Standards Board ISSB released two new International Financial Reporting Standards IFRS on sustainability disclosures in June 2023"
"All the G 7 countries are not backing which action?","Mandatory sustainability reporting", "Disclosure on environmental impact", "Wider TCFD implementation",C,"All the G 7 countries are backing mandatory sustainability reporting and wider TCFD implementation and disclosure on environmental impact for all companies"
"Why was the EU's existing sustainability disclosure legislation named Non Financial Reporting Directive or NFRD deemed insufficient?", "It did not address climate change risks specifically", "It focused too much on short term financial gains", "It was deemed insufficiently fit to support the EU Green Deal",C,"The EU's existing sustainability disclosure legislation named Non Financial Reporting Directive or NFRD was deemed insufficiently fit to support the EU Green Deal"
"What is the term for factors that influence investment decisions motivated by concerns such as improving members' quality of life or showing disapproval of certain industries?","Financial factors", "Stakeholder concerns", "Non financial factors",C,"Non financial factors are influences on investment decisions motivated by concerns such as improving quality of life or showing disapproval of certain industries"
"What is one goal of the UK Green Finance Strategy?", "Encouraging the government to take the lead on sustainability", "Directing private sector financial flows to economic activities that support environmentally sustainable growth", "Ensuring only corporations engage in environmental activities",B,"The UK Green Finance Strategy aims to finance Green directing private sector financial flows to economic activities that support an environmentally sustainable and resilient growth"
"Why is China's central bank and the EU Commission aligning with the Common Ground Taxonomy CGT?", "Because the EU taxonomy is not efficient enough", "Because this allows simplification of cross border green capital flows", "Because this is politically relevant",B,"Aligning with the Common Ground Taxonomy CGT simplifies cross border green capital flows reducing transaction costs and redundant verification"
"The EAPF was known for what activity?", "For publishing the Asset Management Accord", "For publishing investment standards", "For being the first green index",A,"The EAPF was known for publishing the Asset Management Accord and it set out expectations for long term manager relationships"
"What was the first country to enshrine it's net zero commitment into law?", "China", "Germany", "United Kingdom",C,"United Kingdom adopted the Climate Change Act in 2008 and was the first country to enshrine its net zero commitment into law in 2019"
"What action do they require when they are unable to comply with laws?", "Declare bankruptcy", "Must explain why", "Must sell their company",B,"New Zealand's Financial Markets Authority Te Mana Tātai Hokohoko FMA was made responsible for independent monitoring and enforcement of the regime"
"What is the goal for the Government Pension Investment Fund in Japan?", "Achieving net zero", "Improving the long term return of the whole asset", "Improving government returns",B,"The Government Pension Investment Fund GPIF invested in ten different ESG themed indexes to improve the long term return of the whole asset"
"Where can sustainable investments be found?", "Hedge funds", "Cash", "Commodities",A,"Sustainable investments can be found in hedge funds cash or depository vehicles commodities and infrastructure and other alternative asset classes"
"What can be found in Sell Side analysts and credit rating agencies", "Sustainability standards", "ESG Factors", "Improved communications",B,"Sell side analysts and credit rating agencies can consider ESG factors within their analysis recommendations and ratings providing valuable insights"
"What is the most accurate way for civil society to have an affect?", "Decreasing government returns", "pushing for increased sustainability", "Improving academic reports",B,"Civil society including non governmental organizations NGOs has played a major role in pushing for increased sustainability at the company level"
"What are the two biggest types of pensions?", "Retirees and contributors", "Board and Trustees", "Trustees and Beneficiaries",C,"The two biggest types of pensions are trustees and beneficiaries representing key stakeholders in pension fund governance and oversight"
"How are investors impacted during long term investments?", "Are more secure", "Benefit from it", "Reward managers",B,"In theory asset owners with long term liabilities are well aligned with long term investing and are due to benefit from it in the long run"
"To what extent are the effects of climate change", "Not affected", "Long term", "Quick turnover",B,"Given the long term nature of their liabilities ESG risks often more long term in nature are particularly relevant to their investments"
"In 2018 how much did the retail portion of the ESG Market grow by?", "One quarter", "Half", "Three Quarters",A,"In 2018 the retail portion of sustainable investing assets had grown to one quarter as seen in Exhibit 5 of Chapter 2"
"For the implementation of green bonds who has an affect?", "Investment advisors", "Investment bankers", "Retirees",B,"Investment banks play a crucial role in supporting companies issuing green bonds facilitating the process and connecting issuers with investors"
"How can stock exchanges increase requirements?", "Through sustainability", "Improve disclosures", "ESG data",B,"Stock exchanges can increase disclosure requirements on ESG data for listed companies promoting greater transparency and accountability on ESG issues"
"Are retail investors or institutional investors slower for ESG?", "Retail", "Institutional", "Same Pace",A,"The adoption of ESG investing by retail investors has been generally slower than that of institutional investors although this is changing"
"What is commonly managed by assets?", "Sustainability themed investing", "High returns", "ESG",C,"ESG integration is the largest sustainable investment strategy globally with USD25.1 trillion in assets under management AUM in 2020"
"The requirement to consider what also reinforces the asset owners' appreciation?", "High returns", "Low risk", "ESG",C,"The requirement to consider ESG factors within investment mandates also reinforces asset owners appreciation for the link between ESG factors and long term returns"
"What can help them act in accordance with the asset's owner responsible investment?", "Proxy voting service providers", "Wealth Management", "ESG",A,"Proxy voting service providers can help asset owners act in accordance with their responsible investment policy by integrating ESG considerations into voting decisions"
"In order to make decisions what actions?", "Members risks", "Risk appetite", "Wealth of the firm",B,"To make decisions based on members input pension funds like PGB conduct surveys on members risk appetite and ESG preferences"
"Who excluded the UN's Global Compact principles and aimed to reduce carbon emissions?", "Australia", "Government", "The scheme excluded",C,"The scheme excluded companies that violate the UN's Global Compact Principles and aimed to reduce carbon emissions by 20% in two years"
"Who has a lot of sensitivity in their nature due to ESG?", "Government", "Insurers", "The European Union",B,"Insurers are by nature sensitive to certain ESG issues due to factors affecting insurance products and long term liabilities"
"ESG evaluation should be based on which?", "Good investment", "Public", "Bad investment",B,"ESG evaluation should be based on public information and its method and results should be publicly disclosed for transparency and accountability"
"Who has responsibilities to the fund?", "Executive", "Trustee", "Beneficiary",B,"Trustees hold the ultimate fiduciary responsibility for pension funds acting separately from the employer and holding assets in trust for beneficiaries"
"Who do pensions act separately from", "employer", "employee", "retirement",A,"Pension fund trustees act separately from the employer holding ultimate fiduciary responsibility and managing assets in trust for pension beneficiaries"
"How do you think that investment decisions?", "Non financial", "Good", "Financial",C,"On financial factors trustees should take into account financially material factors in investment decisions while considering ESG factors"
